Date,Open,High,Low,Close_,AdjClose__,Volume
"Mar 02, 1988","1,783.00","1,808.70","1,783.00","1,808.70","1,808.70",
"Mar 01, 1988","1,781.00","1,783.80","1,781.00","1,781.90","1,781.90",
"Feb 29, 1988","1,766.50","1,770.70","1,759.00","1,768.80","1,768.80",
"Feb 26, 1988","1,781.60","1,781.60","1,765.00","1,766.50","1,766.50",
"Feb 25, 1988","1,764.30","1,782.40","1,764.30","1,782.40","1,782.40",
"Feb 24, 1988","1,757.90","1,761.90","1,756.00","1,760.10","1,760.10",
"Feb 23, 1988","1,757.00","1,772.20","1,757.00","1,757.90","1,757.90",
"Feb 22, 1988","1,732.30","1,749.20","1,732.30","1,747.20","1,747.20",
"Feb 19, 1988","1,733.30","1,733.30","1,722.60","1,729.80","1,729.80",
"Feb 18, 1988","1,748.10","1,749.70","1,735.90","1,736.10","1,736.10",
"Feb 17, 1988","1,737.50","1,750.50","1,737.50","1,748.10","1,748.10",
"Feb 16, 1988","1,739.20","1,743.50","1,734.90","1,734.90","1,734.90",
"Feb 15, 1988","1,739.00","1,742.60","1,739.00","1,739.20","1,739.20",
"Feb 12, 1988","1,729.80","1,734.90","1,727.60","1,734.00","1,734.00",
"Feb 11, 1988","1,727.40","1,737.90","1,727.40","1,729.80","1,729.80",
"Feb 10, 1988","1,707.20","1,718.70","1,705.00","1,718.50","1,718.50",
"Feb 09, 1988","1,700.00","1,711.80","1,700.00","1,707.20","1,707.20",
"Feb 08, 1988","1,709.80","1,709.80","1,690.00","1,694.50","1,694.50",
"Feb 05, 1988","1,766.30","1,766.30","1,732.00","1,737.80","1,737.80",
"Feb 04, 1988","1,766.30","1,769.50","1,758.00","1,766.90","1,766.90",
"Feb 03, 1988","1,774.40","1,775.80","1,756.90","1,766.30","1,766.30",
"Feb 02, 1988","1,776.90","1,784.50","1,772.80","1,774.40","1,774.40",
"Feb 01, 1988","1,790.80","1,807.30","1,773.20","1,776.90","1,776.90",
"Jan 29, 1988","1,787.80","1,793.30","1,787.80","1,790.80","1,790.80",
"Jan 28, 1988","1,765.20","1,783.90","1,763.30","1,783.90","1,783.90",
"Jan 27, 1988","1,766.40","1,766.40","1,758.10","1,765.20","1,765.20",
"Jan 26, 1988","1,763.60","1,773.30","1,763.60","1,767.30","1,767.30",
"Jan 25, 1988","1,767.40","1,767.40","1,757.30","1,762.20","1,762.20",
"Jan 22, 1988","1,760.10","1,777.60","1,760.10","1,770.90","1,770.90",
"Jan 21, 1988","1,752.80","1,754.50","1,733.10","1,747.20","1,747.20",
"Jan 20, 1988","1,767.80","1,767.80","1,748.80","1,752.80","1,752.80",
"Jan 19, 1988","1,779.40","1,779.40","1,757.60","1,768.00","1,768.00",
"Jan 18, 1988","1,789.90","1,806.30","1,789.90","1,790.00","1,790.00",
"Jan 15, 1988","1,743.40","1,793.60","1,734.90","1,786.70","1,786.70",
"Jan 14, 1988","1,741.10","1,752.40","1,741.10","1,743.40","1,743.40",
"Jan 13, 1988","1,737.90","1,737.90","1,711.50","1,733.40","1,733.40",
"Jan 12, 1988","1,760.20","1,769.40","1,739.20","1,739.20","1,739.20",
"Jan 11, 1988","1,763.70","1,763.70","1,725.70","1,760.20","1,760.20",
"Jan 08, 1988","1,787.20","1,798.70","1,773.30","1,773.40","1,773.40",
"Jan 07, 1988","1,787.10","1,806.40","1,784.80","1,787.20","1,787.20",
"Jan 06, 1988","1,789.60","1,810.30","1,783.20","1,787.10","1,787.10",
"Jan 05, 1988","1,778.40","1,798.30","1,778.40","1,789.60","1,789.60",
"Jan 04, 1988","1,713.90","1,713.90","1,713.90","1,713.90","1,713.90",
"Jan 01, 1988",,,,,,
"Dec 31, 1987","1,750.90","1,750.90","1,712.00","1,713.90","1,713.90",
"Dec 30, 1987","1,741.10","1,760.20","1,741.10","1,759.80","1,759.80",
"Dec 29, 1987","1,730.80","1,730.80","1,712.70","1,730.30","1,730.30",
"Dec 28, 1987","1,791.10","1,791.10","1,791.10","1,791.10","1,791.10",
"Dec 25, 1987",,,,,,
"Dec 24, 1987","1,780.20","1,792.30","1,780.20","1,791.10","1,791.10",
"Dec 23, 1987","1,750.10","1,771.40","1,750.10","1,771.40","1,771.40",
"Dec 22, 1987","1,750.20","1,757.90","1,746.10","1,747.40","1,747.40",
"Dec 21, 1987","1,730.80","1,755.40","1,730.80","1,750.20","1,750.20",
"Dec 18, 1987","1,706.20","1,717.00","1,681.50","1,717.00","1,717.00",
"Dec 17, 1987","1,700.80","1,715.80","1,700.80","1,706.20","1,706.20",
"Dec 16, 1987","1,670.00","1,698.10","1,669.20","1,689.80","1,689.80",
"Dec 15, 1987","1,661.00","1,681.20","1,661.00","1,670.00","1,670.00",
"Dec 14, 1987","1,651.60","1,652.70","1,641.20","1,652.60","1,652.60",
"Dec 11, 1987","1,623.70","1,653.30","1,623.70","1,651.60","1,651.60",
"Dec 10, 1987","1,639.30","1,657.60","1,585.30","1,619.60","1,619.60",
"Dec 09, 1987","1,624.40","1,639.30","1,623.60","1,639.30","1,639.30",
"Dec 08, 1987","1,620.40","1,640.10","1,620.40","1,624.40","1,624.40",
"Dec 07, 1987","1,587.10","1,598.00","1,587.10","1,598.00","1,598.00",
"Dec 04, 1987","1,582.80","1,582.80","1,562.10","1,582.70","1,582.70",
"Dec 03, 1987","1,590.30","1,611.50","1,586.00","1,588.40","1,588.40",
"Dec 02, 1987","1,588.00","1,607.80","1,588.00","1,590.30","1,590.30",
"Dec 01, 1987","1,579.90","1,592.70","1,577.40","1,578.50","1,578.50",
"Nov 30, 1987","1,606.40","1,606.40","1,570.00","1,579.90","1,579.90",
"Nov 27, 1987","1,656.90","1,656.90","1,648.60","1,651.60","1,651.60",
"Nov 26, 1987","1,664.10","1,668.10","1,659.90","1,660.70","1,660.70",
"Nov 25, 1987","1,676.60","1,676.60","1,659.90","1,664.10","1,664.10",
"Nov 24, 1987","1,659.00","1,694.40","1,659.00","1,689.10","1,689.10",
"Nov 23, 1987","1,633.00","1,663.90","1,626.50","1,657.70","1,657.70",
"Nov 20, 1987","1,633.40","1,633.40","1,605.90","1,633.00","1,633.00",
"Nov 19, 1987","1,650.80","1,650.80","1,637.50","1,639.10","1,639.10",
"Nov 18, 1987","1,661.80","1,692.70","1,661.80","1,663.70","1,663.70",
"Nov 17, 1987","1,684.80","1,690.80","1,660.10","1,660.10","1,660.10",
"Nov 16, 1987","1,684.80","1,734.80","1,684.80","1,684.80","1,684.80",
"Nov 13, 1987","1,702.40","1,702.40","1,660.30","1,678.30","1,678.30",
"Nov 12, 1987","1,648.50","1,723.60","1,648.50","1,702.50","1,702.50",
"Nov 11, 1987","1,597.50","1,640.30","1,597.50","1,639.30","1,639.30",
"Nov 10, 1987","1,565.20","1,573.50","1,515.00","1,573.50","1,573.50",
"Nov 09, 1987","1,590.00","1,590.00","1,561.70","1,565.20","1,565.20",
"Nov 06, 1987","1,638.80","1,647.10","1,607.60","1,620.80","1,620.80",
"Nov 05, 1987","1,608.10","1,642.50","1,577.90","1,638.80","1,638.80",
"Nov 04, 1987","1,620.40","1,620.40","1,565.40","1,608.10","1,608.10",
"Nov 03, 1987","1,723.70","1,737.00","1,650.30","1,653.90","1,653.90",
"Nov 02, 1987","1,737.10","1,737.10","1,712.00","1,723.70","1,723.70",
"Oct 30, 1987","1,734.90","1,773.80","1,734.90","1,749.80","1,749.80",
"Oct 29, 1987","1,661.10","1,693.60","1,661.10","1,682.00","1,682.00",
"Oct 28, 1987","1,682.10","1,682.10","1,598.00","1,658.40","1,658.40",
"Oct 27, 1987","1,684.10","1,735.00","1,677.10","1,703.90","1,703.90",
"Oct 26, 1987","1,693.40","1,693.40","1,638.10","1,684.10","1,684.10",
"Oct 23, 1987","1,821.40","1,821.40","1,746.30","1,795.20","1,795.20",
"Oct 22, 1987","1,943.80","1,959.90","1,749.10","1,833.20","1,833.20",
"Oct 21, 1987","1,897.50","1,983.10","1,897.50","1,943.80","1,943.80",
"Oct 20, 1987","1,985.10","1,985.10","1,748.20","1,801.60","1,801.60",
"Oct 19, 1987","2,165.40","2,165.40","1,999.80","2,052.30","2,052.30",
"Oct 16, 1987","2,301.90","2,302.00","2,301.90","2,301.90","2,301.90",
"Oct 15, 1987","2,308.60","2,308.60","2,287.00","2,301.90","2,301.90",
"Oct 14, 1987","2,350.20","2,352.60","2,322.70","2,322.90","2,322.90",
"Oct 13, 1987","2,344.00","2,353.40","2,344.00","2,350.20","2,350.20",
"Oct 12, 1987","2,363.80","2,363.80","2,337.90","2,338.50","2,338.50",
"Oct 09, 1987","2,371.10","2,371.10","2,349.40","2,366.50","2,366.50",
"Oct 08, 1987","2,375.00","2,387.90","2,375.00","2,375.50","2,375.50",
"Oct 07, 1987","2,359.80","2,359.80","2,346.70","2,359.80","2,359.80",
"Oct 06, 1987","2,385.80","2,389.40","2,367.80","2,367.90","2,367.90",
"Oct 05, 1987","2,385.80","2,399.90","2,385.80","2,385.80","2,385.80",
"Oct 02, 1987","2,377.10","2,383.70","2,377.10","2,382.20","2,382.20",
"Oct 01, 1987","2,372.10","2,385.10","2,372.10","2,373.80","2,373.80",
"Sep 30, 1987","2,368.30","2,369.30","2,361.60","2,366.00","2,366.00",
"Sep 29, 1987","2,368.10","2,375.90","2,367.30","2,368.30","2,368.30",
"Sep 28, 1987","2,348.40","2,369.60","2,348.40","2,368.10","2,368.10",
"Sep 25, 1987","2,319.20","2,342.60","2,319.20","2,342.60","2,342.60",
"Sep 24, 1987","2,347.40","2,347.40","2,303.20","2,313.40","2,313.40",
"Sep 23, 1987","2,347.40","2,356.90","2,347.40","2,352.40","2,352.40",
"Sep 22, 1987","2,334.80","2,336.30","2,320.90","2,336.20","2,336.20",
"Sep 21, 1987","2,328.30","2,335.50","2,328.20","2,334.80","2,334.80",
"Sep 18, 1987","2,313.90","2,333.80","2,313.90","2,328.30","2,328.30",
"Sep 17, 1987","2,285.60","2,305.20","2,285.60","2,304.50","2,304.50",
"Sep 16, 1987","2,264.50","2,279.80","2,260.10","2,279.80","2,279.80",
"Sep 15, 1987","2,271.80","2,272.10","2,263.00","2,264.50","2,264.50",
"Sep 14, 1987","2,264.10","2,278.60","2,264.10","2,271.80","2,271.80",
"Sep 11, 1987","2,253.20","2,261.20","2,242.20","2,261.20","2,261.20",
"Sep 10, 1987","2,251.10","2,259.70","2,251.10","2,253.20","2,253.20",
"Sep 09, 1987","2,275.00","2,275.00","2,247.40","2,249.10","2,249.10",
"Sep 08, 1987","2,283.60","2,295.20","2,275.00","2,275.00","2,275.00",
"Sep 07, 1987","2,274.90","2,283.60","2,267.50","2,283.60","2,283.60",
"Sep 04, 1987","2,273.40","2,285.40","2,273.40","2,274.90","2,274.90",
"Sep 03, 1987","2,260.00","2,275.20","2,260.00","2,268.10","2,268.10",
"Sep 02, 1987","2,272.80","2,276.40","2,249.10","2,249.50","2,249.50",
"Sep 01, 1987","2,249.70","2,272.80","2,238.60","2,272.80","2,272.80",
"Aug 31, 1987","2,249.70","2,249.70","2,249.70","2,249.70","2,249.70",
"Aug 28, 1987","2,248.60","2,259.70","2,248.60","2,249.70","2,249.70",
"Aug 27, 1987","2,249.60","2,255.50","2,236.80","2,245.80","2,245.80",
"Aug 26, 1987","2,248.10","2,259.00","2,240.30","2,249.60","2,249.60",
"Aug 25, 1987","2,225.10","2,251.80","2,220.80","2,248.10","2,248.10",
"Aug 24, 1987","2,219.80","2,236.50","2,219.80","2,225.10","2,225.10",
"Aug 21, 1987","2,186.10","2,206.70","2,186.10","2,205.80","2,205.80",
"Aug 20, 1987","2,197.60","2,231.40","2,157.20","2,185.30","2,185.30",
"Aug 19, 1987","2,209.70","2,209.70","2,175.40","2,197.60","2,197.60",
"Aug 18, 1987","2,250.00","2,250.00","2,224.30","2,224.80","2,224.80",
"Aug 17, 1987","2,295.40","2,307.30","2,289.00","2,295.40","2,295.40",
"Aug 14, 1987","2,290.10","2,307.30","2,289.00","2,295.40","2,295.40",
"Aug 13, 1987","2,286.10","2,290.30","2,268.10","2,290.10","2,290.10",
"Aug 12, 1987","2,275.90","2,301.00","2,275.90","2,286.10","2,286.10",
"Aug 11, 1987","2,256.40","2,276.10","2,256.40","2,275.40","2,275.40",
"Aug 10, 1987","2,226.20","2,242.20","2,203.50","2,242.20","2,242.20",
"Aug 07, 1987","2,233.20","2,233.20","2,196.40","2,226.20","2,226.20",
"Aug 06, 1987","2,317.40","2,333.60","2,246.80","2,261.40","2,261.40",
"Aug 05, 1987","2,307.80","2,320.00","2,290.50","2,317.40","2,317.40",
"Aug 04, 1987","2,320.20","2,320.20","2,294.00","2,307.80","2,307.80",
"Aug 03, 1987","2,356.20","2,356.20","2,323.90","2,334.30","2,334.30",
"Jul 31, 1987","2,360.90","2,360.90","2,343.80","2,360.90","2,360.90",
"Jul 30, 1987","2,383.10","2,398.60","2,368.30","2,370.50","2,370.50",
"Jul 29, 1987","2,364.30","2,384.40","2,364.30","2,383.10","2,383.10",
"Jul 28, 1987","2,346.40","2,363.20","2,346.40","2,359.90","2,359.90",
"Jul 27, 1987","2,333.90","2,333.90","2,315.70","2,333.90","2,333.90",
"Jul 24, 1987","2,344.20","2,353.30","2,344.20","2,346.90","2,346.90",
"Jul 23, 1987","2,344.50","2,346.80","2,317.70","2,340.20","2,340.20",
"Jul 22, 1987","2,390.50","2,400.40","2,344.50","2,344.50","2,344.50",
"Jul 21, 1987","2,392.10","2,392.10","2,366.70","2,390.50","2,390.50",
"Jul 20, 1987","2,410.70","2,410.70","2,390.80","2,400.70","2,400.70",
"Jul 17, 1987","2,440.90","2,440.90","2,419.40","2,428.70","2,428.70",
"Jul 16, 1987","2,427.50","2,455.20","2,427.50","2,443.40","2,443.40",
"Jul 15, 1987","2,407.00","2,424.50","2,407.00","2,419.20","2,419.20",
"Jul 14, 1987","2,386.60","2,403.00","2,369.80","2,403.00","2,403.00",
"Jul 13, 1987","2,386.60","2,402.80","2,386.60","2,386.60","2,386.60",
"Jul 10, 1987","2,371.00","2,383.60","2,369.30","2,382.00","2,382.00",
"Jul 09, 1987","2,358.40","2,374.60","2,358.40","2,371.00","2,371.00",
"Jul 08, 1987","2,365.40","2,375.90","2,352.50","2,356.90","2,356.90",
"Jul 07, 1987","2,351.90","2,374.60","2,346.50","2,365.40","2,365.40",
"Jul 06, 1987","2,338.60","2,360.50","2,338.60","2,351.90","2,351.90",
"Jul 03, 1987","2,312.70","2,330.70","2,312.70","2,328.10","2,328.10",
"Jul 02, 1987","2,276.00","2,300.30","2,276.00","2,297.40","2,297.40",
"Jul 01, 1987","2,273.40","2,273.40","2,265.50","2,269.80","2,269.80",
"Jun 30, 1987","2,289.30","2,294.30","2,279.50","2,284.10","2,284.10",
"Jun 29, 1987","2,291.30","2,295.30","2,283.50","2,289.30","2,289.30",
"Jun 26, 1987","2,278.80","2,295.90","2,278.80","2,291.30","2,291.30",
"Jun 25, 1987","2,282.90","2,282.90","2,264.80","2,277.20","2,277.20",
"Jun 24, 1987","2,276.70","2,292.40","2,276.70","2,284.00","2,284.00",
"Jun 23, 1987","2,244.60","2,266.80","2,234.60","2,265.50","2,265.50",
"Jun 22, 1987","2,266.10","2,272.60","2,244.60","2,244.60","2,244.60",
"Jun 19, 1987","2,284.00","2,284.00","2,254.40","2,266.10","2,266.10",
"Jun 18, 1987","2,319.00","2,319.00","2,275.20","2,293.20","2,293.20",
"Jun 17, 1987","2,316.30","2,327.60","2,316.30","2,320.40","2,320.40",
"Jun 16, 1987","2,307.60","2,309.30","2,282.30","2,309.00","2,309.00",
"Jun 15, 1987","2,293.50","2,310.60","2,293.50","2,307.60","2,307.60",
"Jun 12, 1987","2,257.20","2,296.40","2,257.20","2,289.50","2,289.50",
"Jun 11, 1987","2,256.10","2,280.80","2,249.30","2,249.30","2,249.30",
"Jun 10, 1987","2,265.20","2,266.80","2,248.90","2,256.10","2,256.10",
"Jun 09, 1987","2,243.90","2,269.90","2,243.90","2,265.20","2,265.20",
"Jun 08, 1987","2,228.80","2,230.40","2,214.40","2,228.40","2,228.40",
"Jun 05, 1987","2,221.60","2,234.00","2,221.60","2,228.80","2,228.80",
"Jun 04, 1987","2,235.40","2,239.30","2,202.20","2,214.20","2,214.20",
"Jun 03, 1987","2,219.60","2,236.20","2,200.90","2,235.40","2,235.40",
"Jun 02, 1987","2,228.20","2,248.80","2,214.50","2,219.60","2,219.60",
"Jun 01, 1987","2,209.70","2,238.20","2,209.70","2,228.20","2,228.20",
"May 29, 1987","2,177.50","2,206.30","2,177.50","2,203.00","2,203.00",
"May 28, 1987","2,146.10","2,164.40","2,146.10","2,157.40","2,157.40",
"May 27, 1987","2,153.40","2,158.10","2,140.20","2,145.70","2,145.70",
"May 26, 1987","2,167.50","2,169.30","2,143.40","2,153.40","2,153.40",
"May 25, 1987","2,167.50","2,167.50","2,167.50","2,167.50","2,167.50",
"May 22, 1987","2,163.90","2,175.60","2,163.90","2,167.50","2,167.50",
"May 21, 1987","2,174.00","2,180.60","2,153.20","2,153.70","2,153.70",
"May 20, 1987","2,191.40","2,191.40","2,170.00","2,174.00","2,174.00",
"May 19, 1987","2,197.50","2,216.60","2,197.50","2,214.30","2,214.30",
"May 18, 1987","2,189.70","2,195.90","2,173.40","2,192.10","2,192.10",
"May 15, 1987","2,182.90","2,202.40","2,182.90","2,189.70","2,189.70",
"May 14, 1987","2,163.40","2,185.40","2,163.20","2,180.00","2,180.00",
"May 13, 1987","2,161.50","2,168.90","2,161.50","2,163.40","2,163.40",
"May 12, 1987","2,145.60","2,145.60","2,132.40","2,143.30","2,143.30",
"May 11, 1987","2,156.20","2,183.90","2,156.20","2,163.30","2,163.30",
"May 08, 1987","2,098.50","2,136.30","2,098.50","2,126.50","2,126.50",
"May 07, 1987","2,086.50","2,103.00","2,077.50","2,077.90","2,077.90",
"May 06, 1987","2,075.50","2,096.60","2,075.50","2,086.50","2,086.50",
"May 05, 1987","2,068.50","2,073.90","2,058.80","2,065.10","2,065.10",
"May 04, 1987","2,068.50","2,068.50","2,068.50","2,068.50","2,068.50",
"May 01, 1987","2,061.70","2,074.70","2,061.70","2,068.50","2,068.50",
"Apr 30, 1987","2,038.60","2,050.90","2,035.00","2,050.50","2,050.50",
"Apr 29, 1987","2,028.40","2,040.40","2,028.40","2,038.60","2,038.60",
"Apr 28, 1987","1,997.30","2,025.70","1,997.30","2,022.10","2,022.10",
"Apr 27, 1987","2,001.50","2,002.30","1,979.80","1,986.60","1,986.60",
"Apr 24, 1987","1,982.30","2,005.10","1,982.30","2,001.50","2,001.50",
"Apr 23, 1987","1,955.70","1,968.60","1,948.10","1,968.30","1,968.30",
"Apr 22, 1987","1,950.40","1,961.90","1,950.40","1,955.70","1,955.70",
"Apr 21, 1987","1,949.40","1,951.70","1,931.70","1,940.20","1,940.20",
"Apr 20, 1987","1,949.40","1,949.40","1,949.40","1,949.40","1,949.40",
"Apr 17, 1987","1,949.40","1,949.40","1,949.40","1,949.40","1,949.40",
"Apr 16, 1987","1,932.10","1,949.40","1,932.10","1,949.40","1,949.40",
"Apr 15, 1987","1,922.20","1,940.70","1,922.20","1,922.20","1,922.20",
"Apr 14, 1987","1,917.10","1,927.60","1,903.30","1,908.90","1,908.90",
"Apr 13, 1987","1,925.20","1,925.20","1,914.50","1,917.10","1,917.10",
"Apr 10, 1987","1,960.50","1,960.50","1,921.00","1,936.70","1,936.70",
"Apr 09, 1987","1,976.70","1,994.00","1,962.80","1,962.80","1,962.80",
"Apr 08, 1987","1,980.70","1,980.70","1,961.20","1,976.70","1,976.70",
"Apr 07, 1987","1,987.90","1,987.90","1,977.20","1,987.00","1,987.00",
"Apr 06, 1987","1,982.90","1,994.40","1,982.90","1,989.60","1,989.60",
"Apr 03, 1987","1,982.60","1,982.60","1,951.20","1,965.10","1,965.10",
"Apr 02, 1987","1,983.00","1,992.60","1,983.00","1,987.70","1,987.70",
"Apr 01, 1987","1,997.60","1,999.70","1,961.70","1,973.10","1,973.10",
"Mar 31, 1987","2,002.50","2,005.20","1,981.50","1,997.60","1,997.60",
"Mar 30, 1987","2,046.10","2,046.10","1,993.70","2,002.50","2,002.50",
